merchant_id,name_en,name_ar,category,in_directory,descriptor_patterns,amount_mean,amount_std,recurrence,aggregator,cities
M0001,Dmm Mall 19,مول الدمام 19,shopping,False,"[""DM1"", ""DMM MALL 19"", ""DMMMALL19"", ""DMM_MALL_19""]",580.66,348.4,none,,"[""KHOBAR"", ""MAD"", ""QASSIM""]"
M0002,Njran Store 28,متجر نجران 28,shopping,False,"[""NJRAN STORE 28"", ""NJRANSTORE28"", ""NJRAN_STORE_28"", ""NS2""]",436.27,261.76,none,,"[""HAIL"", ""TABUK"", ""TIF""]"
M0003,Mak Mart,تموينات مكة,groceries,True,"[""MAK MART"", ""MAKMART"", ""MAK_MART"", ""MM""]",209.27,104.64,none,,"[""MAD"", ""MAK"", ""RYD""]"
M0004,Amazon.sa,أمازون,shopping,True,"[""AMZN"", ""AMZN MKTP"", ""AMAZON.SA""]",598.67,359.2,none,,"[""DMM"", ""JED"", ""KHOBAR"", ""MAD""]"
M0005,Abha Taxi Service,تاكسي أبها,transport,False,"[""ABHA TAXI SERVICE"", ""ABHATAXISERVICE"", ""ABHA_TAXI_SERVICE"", ""ATS""]",41.23,18.55,none,,"[""MAD"", ""NJRAN""]"
M0006,Tif Medical Center,مركز طبي الطائف,health,True,"[""SP*TIFMEDIC"", ""TIF MEDICAL CENTER"", ""TIFMEDICALCENTER"", ""TIF_MEDICAL_CENTER"", ""TMC""]",403.7,201.85,none,,"[""DMM"", ""JED"", ""MAD"", ""MAK""]"
M0007,Tif Store,محل بقالة الطائف,groceries,True,"[""TIF STORE"", ""TIFSTORE"", ""TIF_STORE"", ""TS""]",81.39,40.7,none,,"[""DMM"", ""KHOBAR"", ""MAD"", ""RYD""]"
M0008,Ryd Game Zone,صالة ألعاب الرياض,entertainment,True,"[""RGZ"", ""RYD GAME ZONE"", ""RYDGAMEZONE"", ""RYD_GAME_ZONE"", ""SP*RYDGAMEZ""]",59.52,17.86,none,,"[""DMM"", ""JED"", ""MAD"", ""MAK"", ""RYD""]"
M0009,Khobar Utility Co,مرافق الخبر,bills,True,"[""KHOBAR UTILITY CO"", ""KHOBARUTILITYCO"", ""KHOBAR_UTILITY_CO"", ""KUC"", ""SP*KHOBARUT""]",304.9,106.71,monthly,,"[""DMM"", ""KHOBAR"", ""MAD"", ""MAK"", ""RYD""]"
M0010,Tabuk Bistro,بيسترو تبوك,food,False,"[""TABUK BISTRO"", ""TABUKBISTRO"", ""TABUK_BISTRO"", ""TB""]",81.15,32.46,none,,"[""HAIL"", ""YANBU""]"
M0011,Ryd Restaurant 49,مطعم الرياض 49,food,True,"[""RR4"", ""RYD RESTAURANT 49"", ""RYDRESTAURANT49"", ""RYD_RESTAURANT_49""]",20.75,8.3,none,,"[""DMM"", ""KHOBAR"", ""MAK"", ""RYD""]"
M0012,Sary,ساري,groceries,True,"[""SARY"", ""SP*SARY""]",265.55,132.78,none,,"[""HAIL"", ""JIZAN"", ""NJRAN""]"
